zip_code,lat,long,population
27288,36.4976463317871,-79.7500152587891,24071
27291,36.4183158874512,-79.1684265136719,1662
27292,35.7383232116699,-80.2075500488281,39787
27295,35.8717651367188,-80.3101806640625,37211
27298,35.8851165771484,-79.5675430297852,10336
27299,35.7523231506348,-80.3861465454102,5190
27301,36.1135101318359,-79.665657043457,8750
27302,36.1420288085938,-79.2661819458008,26412
27305,36.5268058776855,-79.233757019043,1685
27306,35.225227355957,-79.9801864624023,6176
27310,36.174072265625,-79.9922332763672,6710
27311,36.4796524047852,-79.4725646972656,3402
27312,35.756404876709,-79.2097854614258,18306
27313,35.9314498901367,-79.7580490112305,6962
27314,36.310359954834,-79.1962509155273,1051
27315,36.5101890563965,-79.4035415649414,2243
27316,35.6970138549805,-79.6257934570312,6650
27317,35.8407363891602,-79.8024978637695,16959
27320,36.3416442871094,-79.6575241088867,39351
27325,35.4630851745605,-79.5840911865234,6704
27326,36.4641151428223,-79.5568466186523,4008
27330,35.5144081115723,-79.1954498291016,37947
27332,35.3847045898438,-79.1372146606445,30236
27340,35.945873260498,-79.3171691894531,120
27341,35.5237579345703,-79.6959075927734,5360
27343,36.5037269592285,-79.0914764404297,1716
27344,35.7222633361816,-79.4336929321289,18022
27349,35.9013137817383,-79.4160614013672,5511
27350,35.8082542419434,-79.8882141113281,6530
27355,35.7949676513672,-79.5740051269531,2660
27356,35.4368667602539,-79.8042755126953,3205
27357,36.2666015625,-79.9706268310547,7894
27358,36.2282333374023,-79.8800582885742,14075
27360,35.8605804443359,-80.0992889404297,46084
27370,35.8092803955078,-79.97802734375,15052
27371,35.4068565368652,-79.968147277832,8132
27376,35.2391662597656,-79.5350570678711,9386
27377,36.0426979064941,-79.6086883544922,7104
27379,36.3740997314453,-79.3345108032227,4661
27401,36.0691452026367,-79.7651596069336,21932
27403,36.0659713745117,-79.8243865966797,21958
27405,36.1153831481934,-79.7346420288086,44567
27406,36.0004539489746,-79.7639389038086,56458
27407,36.0085983276367,-79.8781585693359,46242
27408,36.1036682128906,-79.8137130737305,17296
27409,36.1037292480469,-79.939826965332,15621
27410,36.1175231933594,-79.8942413330078,52388
27455,36.187427520752,-79.8174362182617,28706
27501,35.4849395751953,-78.6845703125,17571
27502,35.7153244018555,-78.9210968017578,30831
27503,36.152946472168,-78.8844833374023,3471
27504,35.4003105163574,-78.5182800292969,14566
27505,35.4234733581543,-79.0010299682617,5896
27507,36.513542175293,-78.5694961547852,1929
27508,35.9568748474121,-78.2481460571289,2053
27509,36.1186408996582,-78.7809982299805,10167
27510,35.9157829284668,-79.0826034545898,14644
27511,35.7634124755859,-78.7885284423828,32029
27513,35.8021011352539,-78.8027191162109,40755
27514,35.966739654541,-79.0494155883789,32110
27516,35.9061965942383,-79.1548538208008,36139
27517,35.8504676818848,-79.0231246948242,23346
27518,35.7311401367188,-78.7732086181641,19630
27519,35.8087005615234,-78.8831176757812,39178
27520,35.6197242736816,-78.4770202636719,36357
27521,35.4121208190918,-78.6558685302734,6035
27522,36.1056175231934,-78.6752014160156,12335
27523,35.7736167907715,-78.9569244384766,9552
27524,35.3945617675781,-78.3875961303711,12338
27525,36.1360893249512,-78.4580993652344,13338
27526,35.5438575744629,-78.8297805786133,38894
27527,35.6539497375488,-78.3817138671875,18216
27529,35.6558036804199,-78.5864944458008,42128
27530,35.3811721801758,-78.0625152587891,40117
27531,35.3429946899414,-77.9644088745117,594
27534,35.3692741394043,-77.8868713378906,31364
27536,36.326732635498,-78.4091262817383,17289
27537,36.3717994689941,-78.3978805541992,24319
27539,35.6765365600586,-78.8134460449219,18692
27540,35.6219825744629,-78.8630905151367,29363
27541,36.2648620605469,-79.0832138061523,3770
27542,35.618293762207,-78.1368408203125,9133
